2017/6/12,-0.59,-3.02,-1.13,-2.91,-3.09,-3.31
2017/6/13,0.44,2.21,2.05,1.58,3.29,2.42
2017/6/14,-0.73,0.61,1.28,0.21,-0.58,-2.85
2017/6/15,0.06,3.3,1.87,1.71,2.33,2.18
2017/6/16,-0.3,0,-2.97,-0.53,-0.19,0.66
2017/6/19,0.68,0.43,-1.96,1.43,0.67,-2.12
2017/6/20,-0.14,0.53,-0.04,-0.78,-0.28,-0.92
2017/6/21,0.52,-0.69,-0.02,0.42,-0.19,-1.35
2017/6/22,-0.28,-0.21,-2.02,0.58,-0.19,-0.77
2017/6/23,0.33,-2.18,1.61,-0.26,-1.33,-2.41
2017/6/26,0.87,1.63,-0.02,1.41,1.16,0.62
2017/6/27,0.18,3.05,0.86,0.21,-0.1,1.58
2017/6/28,-0.56,-1.56,-0.91,-1.33,-1.14,-2.33
2017/6/29,0.47,1.43,0.56,1.87,1.06,1.15
2017/6/30,0.14,-0.83,-0.58,-0.71,0.76,-0.87
2017/7/3,0.11,1.63,3.46,2.52,1.04,0.53
2017/7/4,-0.41,-0.78,-0.64,-1,0.19,0.53
2017/7/5,0.76,0.94,2.77,2.33,0.65,-0.26
2017/7/6,0.17,-0.36,4.2,1.68,-0.28,-0.87
2017/7/7,0.17,-0.47,3.73,0.39,-0.28,-1.32
2017/7/10,-0.17,-0.05,-5.03,-2.57,-0.19,-2.32
2017/7/11,-0.3,0.47,-6.67,-1.49,-1.59,-0.55
2017/7/12,-0.17,-3.47,5.14,0.81,-1.24,-1.75
2017/7/13,0.64,-3.01,-1.63,-0.3,-0.1,-1.03
2017/7/14,0.13,-0.77,-2.92,-2.41,1.64,0.09
2017/7/17,-1.43,-9.76,-4.75,-5.98,-5.79,-7.83
2017/7/18,0.35,1.05,-0.15,1.21,-0.1,1.43
2017/7/19,1.36,-0.43,0.94,1.3,1.11,0.81
2017/7/20,0.43,1.47,-0.34,0.05,0.2,0.5
2017/7/21,-0.21,1.03,2.12,2.08,0.7,10.06
2017/7/24,0.39,-0.06,1.78,-0.16,-0.1,3.62
2017/7/25,-0.21,0.66,-0.07,-1.15,-0.1,-2.01
2017/7/26,0.12,-1.49,-2.1,-0.21,-0.59,-0.89
2017/7/27,0.06,4.9,5.69,6.54,2.39,1.98
2017/7/28,0.11,-1.56,-1.45,-1.85,0.49,-2.03
2017/7/31,0.61,-0.12,-0.18,1.12,-0.19,-0.27
2017/8/1,0.6,0.23,-0.95,0.55,-0.48,0.36
2017/8/2,-0.23,-3.63,-3.44,-0.85,0.1,5.31
2017/8/3,-0.37,1.52,-1.76,0.35,-0.39,1.02
2017/8/4,-0.33,-1.14,-0.74,-0.9,-1.37,-2.96
2017/8/7,0.53,0.73,0.92,0.81,0.59,-0.44
2017/8/8,0.07,0.84,0.48,4.02,0.59,3.15
2017/8/9,-0.19,0.06,1.75,-0.92,0.88,3.22
2017/8/10,-0.42,-0.95,-2.26,-1.32,-1.26,1.31
2017/8/11,-1.63,-1.62,-1.16,-0.94,-1.18,-2.35
2017/8/14,0.9,2.5,1.83,3.74,10.05,2.99
2017/8/15,0.43,1.97,0.09,-1.06,-1.72,-1.45
2017/8/16,-0.15,1.29,2.14,2.14,0.28,0.74
2017/8/17,0.68,3.4,2.26,8.14,3.49,4.39
2017/8/18,0.01,-1.95,-2.05,-2.11,-1.24,-2.02
2017/8/21,0.56,3.87,0.26,1.03,0.18,0.64
2017/8/22,0.1,-2.14,-2.18,-3.12,-1.43,-3.79
2017/8/23,-0.08,-0.67,0.19,1.15,-0.36,4.76
2017/8/24,-0.49,-0.73,0.23,-2.68,-1.64,-2.82
2017/8/25,1.83,2.38,-0.77,0.89,1.58,-0.08
2017/8/28,0.93,0.61,2.99,0.74,0.37,1.77
2017/8/29,0.08,-1.05,2.8,-0.87,-1.27,-1.9
2017/8/30,-0.05,-0.39,-1.13,1.57,0.37,-1.53
2017/8/31,-0.08,1.29,6.88,1.92,1.1,0.25
2017/9/1,0.19,1.43,0.24,0.27,0.45,0.08
2017/9/4,0.37,2.23,1.49,1.74,3.07,10.06
2017/9/5,0.14,-1.01,-1.12,-1.27,-1.4,5.28
2017/9/6,0.03,0.38,-0.86,-0.89,1.42,1.41
2017/9/7,-0.59,-1.02,-1.53,-1.43,-1.05,-3.97
2017/9/8,-0.01,-0.38,-0.78,0.36,0.18,-2.9
2017/9/11,0.33,3.64,4.74,1.63,2.04,10.08
2017/9/12,0.09,0.16,-1.73,-1.56,-0.61,-0.81
2017/9/13,0.14,0.89,0.76,-1.81,-0.26,1.71
2017/9/14,-0.38,2.7,-1.99,0,-1.14,-0.94
2017/9/15,-0.53,1.62,0.89,-1.61,-0.53,1.09
2017/9/18,0.28,0,0.03,0.42,0.98,-1.95
2017/9/19,-0.18,-2.88,1.44,-1.07,-1.41,-1.23
2017/9/20,0.27,0.41,1.02,1.46,2.59,2.91
2017/9/21,-0.24,-0.1,3.79,-0.23,-1.48,-3.57
2017/9/22,-0.16,-1.63,0.02,-1.35,-1.77,0.28
2017/9/25,-0.33,-1.04,0.8,-0.09,-1.08,-1.39
2017/9/26,0.06,-2.15,-5.56,-0.09,0.09,-1.7
2017/9/27,0.05,1.39,1.37,1.61,0.36,2.08
2017/9/28,-0.17,-3.17,1.62,-1.03,0.82,-0.99
2017/9/29,0.28,0.82,1.17,0.14,-0.09,-0.57
2017/10/9,0.76,2.16,0.8,3.67,1.71,3.07
2017/10/10,0.26,2.22,4.36,1.5,2.39,2.36
2017/10/11,0.16,0.36,-1.69,-0.63,-1.3,-2.85
2017/10/12,-0.06,4.75,0.14,1.3,1.66,-0.63
2017/10/13,0.13,2.71,1.36,-0.71,-0.43,0.21
2017/10/16,-0.36,-4.08,-2.6,-1.21,-2.16,-4.27
2017/10/17,-0.19,-1,1.51,-1.95,-1.06,0.37
2017/10/18,0.29,-4.09,3.15,-1.2,0.09,-3.5
2017/10/19,-0.34,0.47,2.19,0.65,-0.98,0.91
2017/10/20,0.25,1.99,5.6,1.35,0.99,2.1
2017/10/23,0.06,-0.36,0.28,1.37,0.45,-0.88
2017/10/24,0.22,-2.53,-2.23,-1.31,-0.53,-1.55
2017/10/25,0.26,1.16,2.73,0.14,0.45,1.13
2017/10/26,0.31,0.37,-0.83,0.78,2.49,1.34
2017/10/27,0.27,-2.5,0.38,-2.72,0,-1.91
2017/10/30,-0.77,-8.72,-0.82,-4.62,-1.82,-3.36
2017/10/31,0.09,0.29,2.07,0.98,4.33,1.39
2017/11/1,0.08,-1.46,4.3,-1.11,0.93,-1.07
2017/11/2,-0.37,-1.24,-1.17,-1.52,-0.76,-0.93
2017/11/3,-0.34,0.12,-4.66,-0.05,-1.27,-1.4
2017/11/6,0.49,0.72,1.95,2.98,-0.26,0.47
2017/11/7,0.75,1.55,-0.34,0.19,-2.4,1.26
2017/11/8,0.06,0.29,3.36,-0.24,-0.35,0.7
2017/11/9,0.36,1.93,-2.14,1.11,1.15,1.62
2017/11/10,0.14,-0.52,1.45,-0.43,1.75,2.27
2017/11/13,0.44,1.44,1.19,1.63,3,0.15
